ID,X,Y,Z,TxPowerdBm,Hdirection,VTilt,Active,Alias
0,0.000000,0.000000,25.000000,41.000000,60.000000,0,1,0
1,200.000000,-0.000000,25.000000,41.000000,60.000000,0,1,1
2,100.000000,173.205080,25.000000,41.000000,60.000000,0,1,2
3,-100.000000,173.205080,25.000000,41.000000,60.000000,0,1,3
4,-200.000000,0.000000,25.000000,41.000000,60.000000,0,1,4
5,-100.000000,-173.205080,25.000000,41.000000,60.000000,0,1,5
6,100.000000,-173.205080,25.000000,41.000000,60.000000,0,1,6
7,400.000000,-0.000001,25.000000,41.000000,60.000000,0,1,7
8,299.999999,173.205080,25.000000,41.000000,60.000000,0,1,8
9,199.999999,346.410160,25.000000,41.000000,60.000000,0,1,9
10,-0.000001,346.410160,25.000000,41.000000,60.000000,0,1,10
11,-200.000000,346.410161,25.000000,41.000000,60.000000,0,1,11
12,-300.000000,173.205081,25.000000,41.000000,60.000000,0,1,12
13,-400.000000,0.000001,25.000000,41.000000,60.000000,0,1,13
14,-299.999999,-173.205080,25.000000,41.000000,60.000000,0,1,14
15,-199.999999,-346.410160,25.000000,41.000000,60.000000,0,1,15
16,0.000001,-346.410160,25.000000,41.000000,60.000000,0,1,16
17,200.000000,-346.410161,25.000000,41.000000,60.000000,0,1,17
18,300.000000,-173.205081,25.000000,41.000000,60.000000,0,1,18
19,599.999999,-0.000001,25.000000,41.000000,60.000000,0,1,11
20,499.999999,173.205079,25.000000,41.000000,60.000000,0,1,15
21,399.999999,346.410160,25.000000,41.000000,60.000000,0,1,14
22,299.999999,519.615240,25.000000,41.000000,60.000000,0,1,17
23,99.999999,519.615240,25.000000,41.000000,60.000000,0,1,16
24,-100.000001,519.615241,25.000000,41.000000,60.000000,0,1,15
25,-300.000001,519.615241,25.000000,41.000000,60.000000,0,1,7
26,-400.000000,346.410161,25.000000,41.000000,60.000000,0,1,18
27,-500.000000,173.205081,25.000000,41.000000,60.000000,0,1,17
28,-599.999999,0.000001,25.000000,41.000000,60.000000,0,1,9
29,-499.999999,-173.205079,25.000000,41.000000,60.000000,0,1,8
30,-399.999999,-346.410160,25.000000,41.000000,60.000000,0,1,7
31,-299.999999,-519.615240,25.000000,41.000000,60.000000,0,1,11
32,-99.999999,-519.615240,25.000000,41.000000,60.000000,0,1,10
