ID,X,Y,Z,HDirection,HWidth,VTilt
72 , -600.000001 , 692.820322 , 25.000000 , 60.000000 , 65.000000 , 0.000000
73 , -700.000000 , 519.615242 , 25.000000 , 60.000000 , 65.000000 , 0.000000
74 , -800.000000 , 346.410162 , 25.000000 , 60.000000 , 65.000000 , 0.000000
75 , -899.999999 , 173.205082 , 25.000000 , 60.000000 , 65.000000 , 0.000000
76 , -999.999999 , 0.000002 , 25.000000 , 60.000000 , 65.000000 , 0.000000
77 , -899.999999 , -173.205078 , 25.000000 , 60.000000 , 65.000000 , 0.000000
78 , -799.999998 , -346.410159 , 25.000000 , 60.000000 , 65.000000 , 0.000000
79 , -699.999998 , -519.615239 , 25.000000 , 60.000000 , 65.000000 , 0.000000
80 , -599.999998 , -692.820320 , 25.000000 , 60.000000 , 65.000000 , 0.000000
81 , -499.999998 , -866.025400 , 25.000000 , 60.000000 , 65.000000 , 0.000000
82 , -299.999998 , -866.025400 , 25.000000 , 60.000000 , 65.000000 , 0.000000
83 , -99.999998 , -866.025401 , 25.000000 , 60.000000 , 65.000000 , 0.000000
84 , 100.000002 , -866.025401 , 25.000000 , 60.000000 , 65.000000 , 0.000000
85 , 300.000001 , -866.025402 , 25.000000 , 60.000000 , 65.000000 , 0.000000
86 , 500.000001 , -866.025402 , 25.000000 , 60.000000 , 65.000000 , 0.000000
87 , 600.000001 , -692.820322 , 25.000000 , 60.000000 , 65.000000 , 0.000000
88 , 700.000000 , -519.615242 , 25.000000 , 60.000000 , 65.000000 , 0.000000
89 , 800.000000 , -346.410162 , 25.000000 , 60.000000 , 65.000000 , 0.000000
90 , 899.999999 , -173.205082 , 25.000000 , 60.000000 , 65.000000 , 0.000000
91 , 1099.999998 , 173.205078 , 25.000000 , 60.000000 , 65.000000 , 0.000000
92 , 999.999998 , 346.410158 , 25.000000 , 60.000000 , 65.000000 , 0.000000
93 , 899.999998 , 519.615239 , 25.000000 , 60.000000 , 65.000000 , 0.000000
94 , 799.999998 , 692.820319 , 25.000000 , 60.000000 , 65.000000 , 0.000000
95 , 399.999998 , 1039.230480 , 25.000000 , 60.000000 , 65.000000 , 0.000000
96 , 199.999998 , 1039.230481 , 25.000000 , 60.000000 , 65.000000 , 0.000000
97 , -0.000002 , 1039.230481 , 25.000000 , 60.000000 , 65.000000 , 0.000000
98 , -200.000002 , 1039.230482 , 25.000000 , 60.000000 , 65.000000 , 0.000000
99 , -700.000001 , 866.025402 , 25.000000 , 60.000000 , 65.000000 , 0.000000
100 , -800.000000 , 692.820322 , 25.000000 , 60.000000 , 65.000000 , 0.000000
101 , -900.000000 , 519.615242 , 25.000000 , 60.000000 , 65.000000 , 0.000000
102 , -1000.000000 , 346.410162 , 25.000000 , 60.000000 , 65.000000 , 0.000000
103 , -1099.999998 , -173.205078 , 25.000000 , 60.000000 , 65.000000 , 0.000000
104 , -999.999998 , -346.410158 , 25.000000 , 60.000000 , 65.000000 , 0.000000
105 , -899.999998 , -519.615239 , 25.000000 , 60.000000 , 65.000000 , 0.000000
106 , -799.999998 , -692.820319 , 25.000000 , 60.000000 , 65.000000 , 0.000000
107 , -399.999998 , -1039.230480 , 25.000000 , 60.000000 , 65.000000 , 0.000000
108 , -199.999998 , -1039.230481 , 25.000000 , 60.000000 , 65.000000 , 0.000000
109 , 0.000002 , -1039.230481 , 25.000000 , 60.000000 , 65.000000 , 0.000000
110 , 200.000002 , -1039.230482 , 25.000000 , 60.000000 , 65.000000 , 0.000000
111 , 700.000001 , -866.025402 , 25.000000 , 60.000000 , 65.000000 , 0.000000
112 , 800.000000 , -692.820322 , 25.000000 , 60.000000 , 65.000000 , 0.000000
113 , 900.000000 , -519.615242 , 25.000000 , 60.000000 , 65.000000 , 0.000000
114 , 1000.000000 , -346.410162 , 25.000000 , 60.000000 , 65.000000 , 0.000000
115 , 1199.999998 , 346.410158 , 25.000000 , 60.000000 , 65.000000 , 0.000000
116 , 1099.999998 , 519.615238 , 25.000000 , 60.000000 , 65.000000 , 0.000000
117 , 999.999998 , 692.820319 , 25.000000 , 60.000000 , 65.000000 , 0.000000
118 , 99.999998 , 1212.435561 , 25.000000 , 60.000000 , 65.000000 , 0.000000
119 , -100.000002 , 1212.435562 , 25.000000 , 60.000000 , 65.000000 , 0.000000
120 , -1000.000000 , 692.820323 , 25.000000 , 60.000000 , 65.000000 , 0.000000
121 , -1100.000000 , 519.615243 , 25.000000 , 60.000000 , 65.000000 , 0.000000
122 , -1099.999998 , -519.615238 , 25.000000 , 60.000000 , 65.000000 , 0.000000
123 , -999.999998 , -692.820319 , 25.000000 , 60.000000 , 65.000000 , 0.000000
124 , -99.999998 , -1212.435561 , 25.000000 , 60.000000 , 65.000000 , 0.000000
125 , 100.000002 , -1212.435562 , 25.000000 , 60.000000 , 65.000000 , 0.000000
126 , 1000.000000 , -692.820323 , 25.000000 , 60.000000 , 65.000000 , 0.000000
127 , 1100.000000 , -519.615243 , 25.000000 , 60.000000 , 65.000000 , 0.000000
128 , 0.000000 , 0.000000 , 25.000000 , 180.000000 , 65.000000 , 0.000000
129 , 200.000000 , -0.000000 , 25.000000 , 180.000000 , 65.000000 , 0.000000
130 , 100.000000 , 173.205080 , 25.000000 , 180.000000 , 65.000000 , 0.000000
131 , -100.000000 , 173.205080 , 25.000000 , 180.000000 , 65.000000 , 0.000000
132 , -200.000000 , 0.000000 , 25.000000 , 180.000000 , 65.000000 , 0.000000
133 , -100.000000 , -173.205080 , 25.000000 , 180.000000 , 65.000000 , 0.000000
134 , 100.000000 , -173.205080 , 25.000000 , 180.000000 , 65.000000 , 0.000000
135 , 400.000000 , -0.000001 , 25.000000 , 180.000000 , 65.000000 , 0.000000
136 , 299.999999 , 173.205080 , 25.000000 , 180.000000 , 65.000000 , 0.000000
137 , 199.999999 , 346.410160 , 25.000000 , 180.000000 , 65.000000 , 0.000000
138 , -0.000001 , 346.410160 , 25.000000 , 180.000000 , 65.000000 , 0.000000
139 , -200.000000 , 346.410161 , 25.000000 , 180.000000 , 65.000000 , 0.000000
140 , -300.000000 , 173.205081 , 25.000000 , 180.000000 , 65.000000 , 0.000000
141 , -400.000000 , 0.000001 , 25.000000 , 180.000000 , 65.000000 , 0.000000
142 , -299.999999 , -173.205080 , 25.000000 , 180.000000 , 65.000000 , 0.000000
143 , -199.999999 , -346.410160 , 25.000000 , 180.000000 , 65.000000 , 0.000000
144 , 0.000001 , -346.410160 , 25.000000 , 180.000000 , 65.000000 , 0.000000
145 , 200.000000 , -346.410161 , 25.000000 , 180.000000 , 65.000000 , 0.000000
146 , 300.000000 , -173.205081 , 25.000000 , 180.000000 , 65.000000 , 0.000000
147 , 599.999999 , -0.000001 , 25.000000 , 180.000000 , 65.000000 , 0.000000
148 , 499.999999 , 173.205079 , 25.000000 , 180.000000 , 65.000000 , 0.000000
149 , 399.999999 , 346.410160 , 25.000000 , 180.000000 , 65.000000 , 0.000000
150 , 299.999999 , 519.615240 , 25.000000 , 180.000000 , 65.000000 , 0.000000
151 , 99.999999 , 519.615240 , 25.000000 , 180.000000 , 65.000000 , 0.000000
152 , -100.000001 , 519.615241 , 25.000000 , 180.000000 , 65.000000 , 0.000000
153 , -300.000001 , 519.615241 , 25.000000 , 180.000000 , 65.000000 , 0.000000
154 , -400.000000 , 346.410161 , 25.000000 , 180.000000 , 65.000000 , 0.000000
155 , -500.000000 , 173.205081 , 25.000000 , 180.000000 , 65.000000 , 0.000000
156 , -599.999999 , 0.000001 , 25.000000 , 180.000000 , 65.000000 , 0.000000
157 , -499.999999 , -173.205079 , 25.000000 , 180.000000 , 65.000000 , 0.000000
158 , -399.999999 , -346.410160 , 25.000000 , 180.000000 , 65.000000 , 0.000000
159 , -299.999999 , -519.615240 , 25.000000 , 180.000000 , 65.000000 , 0.000000
160 , -99.999999 , -519.615240 , 25.000000 , 180.000000 , 65.000000 , 0.000000
161 , 100.000001 , -519.615241 , 25.000000 , 180.000000 , 65.000000 , 0.000000
162 , 300.000001 , -519.615241 , 25.000000 , 180.000000 , 65.000000 , 0.000000
163 , 400.000000 , -346.410161 , 25.000000 , 180.000000 , 65.000000 , 0.000000
164 , 500.000000 , -173.205081 , 25.000000 , 180.000000 , 65.000000 , 0.000000
165 , 799.999999 , -0.000002 , 25.000000 , 180.000000 , 65.000000 , 0.000000
166 , 699.999999 , 173.205079 , 25.000000 , 180.000000 , 65.000000 , 0.000000
