ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
495,-7.782022,187.907519,10.500000,1,0,94.501679,3
496,-163.217968,153.836553,4.500000,1,0,69.223561,3
497,-189.528141,143.794007,1.500000,0,1,97.121311,3
498,-69.610372,248.557673,10.500000,1,0,82.533585,3
499,-85.916409,232.882467,10.500000,1,0,63.007840,3
500,-60.298788,135.923915,1.500000,1,0,59.315441,3
501,-56.455932,92.361243,1.500000,1,0,94.784292,3
502,-109.589176,169.571315,1.500000,1,0,25.639940,3
503,-156.030307,213.808116,4.500000,1,0,72.168218,3
504,-278.518442,61.471911,7.500000,1,0,101.243229,4
505,-190.580929,-85.185134,13.500000,1,0,86.472401,4
506,-151.463069,33.407683,4.500000,1,0,62.387153,4
507,-137.670190,9.429420,16.500000,1,0,63.609505,4
508,-189.309442,76.570469,13.500000,1,0,78.163769,4
509,-117.243088,36.575715,10.500000,1,0,91.633724,4
510,-189.072046,-83.761122,1.500000,0,1,87.678936,4
511,-257.421237,-11.080292,10.500000,1,0,60.251318,4
512,-179.702681,-51.863658,1.500000,0,1,60.448906,4
513,-143.068109,-66.636978,13.500000,1,0,88.396703,4
514,-229.554357,52.249987,1.500000,1,0,64.465271,4
515,-248.357800,-30.645397,10.500000,1,0,59.058168,4
516,-279.250484,46.617746,4.500000,1,0,94.202460,4
517,-122.174226,-11.598245,7.500000,1,0,80.607818,4
518,-185.302070,-31.960653,4.500000,1,0,40.715630,4
519,-258.523765,73.591579,7.500000,1,0,95.639958,4
520,-214.102484,10.841049,10.500000,1,0,22.949039,4
521,-164.436679,-78.299994,1.500000,0,1,89.150933,4
522,-157.458828,-50.004469,7.500000,1,0,67.944450,4
523,-248.306119,-63.917802,22.500000,1,0,80.157449,4
524,-251.486762,83.177295,1.500000,0,1,100.606158,4
525,-269.894645,70.216118,1.500000,1,0,101.822466,4
526,-114.280668,-32.889369,10.500000,1,0,92.950333,4
527,-155.763909,-62.282774,7.500000,1,0,78.372352,4
528,-150.695738,-84.629658,1.500000,0,1,100.724075,4
529,-142.694633,5.289111,10.500000,1,0,59.347534,4
